Date	NR	WR	SR	ER	NER	Total
01-Apr-12	140	28	75	16	3	263
02-Apr-12	159	36	86	16	3	301
03-Apr-12	165	40	104	19	3	331
04-Apr-12	163	43	96	18	3	323
05-Apr-12	161	43	90	20	3	317
06-Apr-12	163	32	81	19	3	298
07-Apr-12	160	35	79	19	4	297
08-Apr-12	155	31	76	18	6	286
09-Apr-12	156	40	80	16	6	298
10-Apr-12	148	36	83	18	4	290
11-Apr-12	148	31	75	14	5	274
12-Apr-12	151	28	74	20	5	278
13-Apr-12	144	32	80	28	5	289
14-Apr-12	135	39	81	23	5	284
15-Apr-12	126	28	65	22	5	245
16-Apr-12	129	50	77	21	5	282
17-Apr-12	127	35	77	27	6	271
18-Apr-12	123	37	70	28	8	267
19-Apr-12	131	43	69	28	8	278
20-Apr-12	127	34	72	32	6	272
21-Apr-12	137	35	62	39	5	278
22-Apr-12	145	23	60	35	5	268
23-Apr-12	151	36	83	33	8	311
24-Apr-12	151	34	86	27	5	303
25-Apr-12	151	47	67	24	4	293
26-Apr-12	145	43	58	30	4	280
27-Apr-12	152	36	51	32	4	275
28-Apr-12	162	29	45	30	4	270
29-Apr-12	150	23	36	35	6	250
30-Apr-12	148	31	42	28	5	253
01-May-12	147	27	44	23	5	246
02-May-12	145	44	51	27	5	271
03-May-12	141	41	53	18	6	259
04-May-12	141	36	55	18	5	255
05-May-12	146	38	51	26	6	266
06-May-12	154	35	47	22	6	264
07-May-12	161	41	77	23	5	307
08-May-12	173	48	78	23	5	326
09-May-12	185	50	60	30	6	331
10-May-12	187	40	64	27	5	323
11-May-12	197	41	62	25	4	328
12-May-12	190	38	47	25	5	304
13-May-12	192	41	46	26	4	310
14-May-12	191	59	54	31	6	342
15-May-12	193	68	51	32	7	351
16-May-12	189	57	54	34	8	341
17-May-12	195	50	59	28	5	336
18-May-12	202	45	71	25	6	347
19-May-12	208	53	63	26	5	354
20-May-12	200	48	52	28	6	334
21-May-12	195	62	66	27	6	355
22-May-12	194	63	76	27	6	365
23-May-12	183	58	76	32	6	355
24-May-12	189	44	69	20	8	330
25-May-12	222	38	73	27	8	367
26-May-12	238	45	87	25	5	400
27-May-12	223	45	71	25	5	369
28-May-12	231	46	86	25	5	391
29-May-12	244	49	81	26	5	404
30-May-12	256	47	72	28	7	409
31-May-12	261	37	74	30	7	409
01-Jun-12	259	33	74	28	9	402
02-Jun-12	262	35	71	23	13	403
03-Jun-12	252	25	60	24	13	374
04-Jun-12	255	40	71	23	13	402
05-Jun-12	249	36	66	26	13	390
06-Jun-12	242	32	59	27	13	373
07-Jun-12	228	34	62	28	15	367
08-Jun-12	206	38	58	25	13	339
09-Jun-12	193	26	60	26	12	317
10-Jun-12	197	26	61	18	10	312
11-Jun-12	199	51	64	22	11	347
12-Jun-12	212	57	64	30	10	373
13-Jun-12	225	55	63	29	12	383
14-Jun-12	224	56	66	29	16	391
15-Jun-12	235	33	59	30	14	371
16-Jun-12	253	32	51	30	16	381
17-Jun-12	266	20	25	41	15	367
18-Jun-12	271	25	29	48	14	387
19-Jun-12	271	26	31	39	14	381
20-Jun-12	275	26	40	37	12	391
21-Jun-12	274	31	50	38	14	406
22-Jun-12	278	32	56	45	13	424
23-Jun-12	280	47	53	54	13	447
24-Jun-12	276	29	39	53	18	415
25-Jun-12	273	34	52	56	20	435
26-Jun-12	277	37	50	58	18	440
27-Jun-12	273	47	44	59	17	440
28-Jun-12	276	35	46	54	18	428
29-Jun-12	275	36	47	49	18	425
30-Jun-12	273	35	36	45	17	406
01-Jul-12	274	26	26	48	15	389
02-Jul-12	275	31	37	49	16	407
03-Jul-12	275	27	38	59	15	414
04-Jul-12	270	23	43	61	13	409
05-Jul-12	261	19	49	64	18	410
06-Jul-12	270	20	45	54	17	405
07-Jul-12	271	18	51	59	16	416
08-Jul-12	269	17	40	60	14	399
09-Jul-12	275	26	48	57	13	419
10-Jul-12	286	21	41	62	14	424
11-Jul-12	284	22	44	60	16	426
12-Jul-12	280	33	48	61	17	439
13-Jul-12	278	27	41	61	18	425
14-Jul-12	277	27	44	58	18	425
15-Jul-12	274	23	40	55	18	410
16-Jul-12	276	43	47	57	18	441
17-Jul-12	275	50	43	64	18	450
18-Jul-12	278	30	34	65	17	423
19-Jul-12	279	30	29	64	18	419
20-Jul-12	278	31	27	66	16	417
21-Jul-12	277	35	23	68	16	419
22-Jul-12	271	30	29	65	16	411
23-Jul-12	271	55	49	64	17	456
24-Jul-12	277	48	48	66	18	456
25-Jul-12	270	44	44	56	19	434
26-Jul-12	279	38	41	64	20	443
27-Jul-12	283	37	54	68	18	460
28-Jul-12	279	37	46	66	16	443
29-Jul-12	272	28	33	64	20	416
30-Jul-12	194	44	45	64	20	368
31-Jul-12	232	32	49	45	14	372
01-Aug-12	253	32	52	70	14	420
02-Aug-12	222	26	33	65	17	362
03-Aug-12	261	29	36	64	20	409
04-Aug-12	235	43	41	64	20	402
05-Aug-12	261	54	44	68	18	444
06-Aug-12	280	80	60	71	18	509
07-Aug-12	287	66	61	74	17	504
08-Aug-12	286	67	59	76	17	504
09-Aug-12	285	64	60	72	18	498
10-Aug-12	282	71	51	71	17	492
11-Aug-12	279	77	57	69	16	498
12-Aug-12	284	80	55	70	14	502
13-Aug-12	287	80	63	69	15	514
14-Aug-12	294	86	72	76	14	542
15-Aug-12	288	78	55	71	14	507
16-Aug-12	296	94	62	67	14	532
17-Aug-12	292	91	56	66	14	518
18-Aug-12	283	96	52	74	14	519
19-Aug-12	279	87	44	75	15	501
20-Aug-12	243	117	63	78	14	514
21-Aug-12	217	104	60	77	15	473
22-Aug-12	229	114	66	80	19	507
23-Aug-12	299	111	56	80	16	562
24-Aug-12	304	92	56	76	19	547
25-Aug-12	281	85	40	59	20	484
26-Aug-12	299	73	30	74	18	494
27-Aug-12	291	83	37	81	17	508
28-Aug-12	293	91	38	84	18	525
29-Aug-12	297	107	36	84	17	540
30-Aug-12	302	100	37	81	16	535
31-Aug-12	301	92	49	78	16	536
01-Sep-12	304	87	52	75	19	538
02-Sep-12	299	92	46	73	17	527
03-Sep-12	298	95	51	72	16	532
04-Sep-12	296	99	58	78	17	548
05-Sep-12	301	97	68	82	17	565
06-Sep-12	302	89	65	81	16	551
07-Sep-12	300	92	61	80	14	548
08-Sep-12	292	93	57	74	14	530
09-Sep-12	285	79	50	70	13	497
10-Sep-12	303	93	63	80	13	552
11-Sep-12	299	93	74	84	14	562
12-Sep-12	297	107	72	88	16	580
13-Sep-12	297	42	80	83	19	522
14-Sep-12	293	98	70	83	19	563
15-Sep-12	290	96	65	85	19	555
16-Sep-12	291	82	61	80	19	533
17-Sep-12	272	103	83	80	19	556
18-Sep-12	266	96	85	80	19	545
19-Sep-12	269	85	95	84	20	552
20-Sep-12	267	88	81	80	19	535
