0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
4130,GAMMA GREEN POWER (P) LTD,0.60,COIMBATORE(SOUTH),Wind,27-Sep-2006
4131,Sky Weaves,0.23,Kanyakumari,Wind,27-Sep-2006
4132,GAMMA GREEN POWER (P) LTD,0.60,COIMBATORE(SOUTH),Wind,27-Sep-2006
4133,ARRAY LAND DEVELOPERS P LTD,0.68,Tirunelveli,Wind,27-Sep-2006
4134,HRI DHANALAKSHMI GREENENERGYINDIA P LT,1.25,Tirunelveli,Wind,27-Sep-2006
4135,VIKING KNITTERS,1.25,Tirunelveli,Wind,27-Sep-2006
4136,HRI DHANALAKSHMI GREENENERGYINDIA P LT,1.25,Tirunelveli,Wind,27-Sep-2006
4137,THE KCP LIMITED,1.25,Tirunelveli,Wind,27-Sep-2006
4138,Premier mills pvt ltd,1.65,Udumalpet,Wind,27-Sep-2006
4139,Premier Mills pvt Ltd,1.65,Udumalpet,Wind,27-Sep-2006
