0,1,2,3,4,5,6
Sr. No.,Name of Project,InstalledCapacity,Type,location (District),state,Date ofcommmisioning
1431,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-64),2.20,Wind,Virvav S/S Morbi,Gujarat,
1432,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-65),2.20,Wind,Virvav S/S Morbi,Gujarat,
1433,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-SKP-02),2.20,Wind,Virvav S/S Morbi,Gujarat,
1434,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NRWST-62),2.20,Wind,Virvav S/S Morbi,Gujarat,
1435,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NRWST-82),2.20,Wind,Virvav S/S Morbi,Gujarat,
1436,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NW-12),2.20,Wind,Virvav S/S Morbi,Gujarat,
1437,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NW-26),2.20,Wind,Virvav S/S Morbi,Gujarat,
1438,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-97),2.20,Wind,Virvav S/S Morbi,Gujarat,
1439,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-M-AMAR-1),2.20,Wind,Virvav S/S Morbi,Gujarat,
1440,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-62),2.20,Wind,Virvav S/S Morbi,Gujarat,
1441,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-61),2.20,Wind,Virvav S/S Morbi,Gujarat,
