Latitude,Longitude,Hub height,Total power,Name,City
#ND,#ND,#ND,21000,Aarvee Denims & Exports Ltd.,#ND
#ND,#ND,#ND,67000,Aban Loyd Chiles O. Ltd,#ND
#ND,#ND,#ND,17000,ACC Limited,#ND
#ND,#ND,#ND,13000,Advik Hi-Tech Pvt. Ltd,#ND
#ND,#ND,#ND,8000,Agali,#ND
#ND,#ND,#ND,16000,Ambika Cotton Mills Ltd,#ND
#ND,#ND,#ND,16000,Apollo Tyres Ltd,#ND
#ND,#ND,#ND,10000,APSRTC,#ND
#ND,#ND,#ND,20000,Arvind A Traders,#ND
#ND,#ND,#ND,15000,Aryan Coal Benification Pvt. Ltd,#ND
#ND,#ND,#ND,29000,Ashok Leyland Fin. Ltd,#ND
#ND,#ND,#ND,12000,Asian Star Company Ltd,#ND
#ND,#ND,#ND,150000,Aundewadi,Maharasta
#ND,#ND,#ND,12000,Avinash N Bhosale,#ND
#ND,#ND,#ND,86250,Baba Budangiri Hills,Karnataka
#ND,#ND,#ND,24000,Bannari Amman Spinning Mills Ltd,#ND
#ND,#ND,#ND,12000,Bellary Iron Ores Pvt. Ltd,#ND
#ND,#ND,#ND,26000,Best & Co.,#ND
#ND,#ND,#ND,13000,Best International,#ND
#ND,#ND,#ND,16000,Bharat Forge Ltd,#ND
#ND,#ND,#ND,15000,Bharati Shipyard Ltd,#ND
#ND,#ND,#ND,14000,C Mahendra Exports Ltd,#ND
#ND,#ND,#ND,24000,CEPCO Industries Pvt. Ltd,#ND
#ND,#ND,#ND,11000,Charisma Builders,#ND
#ND,#ND,#ND,12000,Cheran Spinners Ltd,#ND
#ND,#ND,#ND,18000,Chettinad Cement Corp,#ND
#ND,#ND,#ND,19000,CPCL,#ND
#ND,#ND,#ND,17000,Dalmia Cements (B) Ltd,#ND
#ND,#ND,#ND,11000,DCW Limited,#ND
#ND,#ND,#ND,10000,Deepak Ferti.& Petrochem.Corpn Ltd,#ND
#ND,#ND,#ND,30000,Dhariwal Industries Ltd,#ND
#ND,#ND,#ND,20000,DJ Malpani,#ND
#ND,#ND,#ND,75000,DLF Home Developers Ltd,#ND
#ND,#ND,#ND,182000,DLF Limited,#ND
#ND,#ND,#ND,13000,Echjay Industries Pvt. Ltd,#ND
#ND,#ND,#ND,13000,Elecon Engineering Co. Ltd,#ND
#ND,#ND,#ND,28000,Ellora Times Ltd,#ND
#ND,#ND,#ND,11000,Emco Limited,#ND
#ND,#ND,#ND,34000,Enercon Wind Farms India Ltd,#ND
#ND,#ND,#ND,15000,Enercon Wind Farms Krishna Ltd,#ND
#ND,#ND,#ND,25000,Enercon Wind Farms Raj Pvt. Ltd,#ND
#ND,#ND,#ND,20000,Enercon Wind Farms Sai Limited,#ND
#ND,#ND,#ND,159000,Enercon Windfarms Hindustan P. Ltd,#ND
#ND,#ND,#ND,10000,Era Constructions India Ltd,#ND
#ND,#ND,#ND,12000,Era Infrastructure (India) Limited,#ND
#ND,#ND,#ND,88000,Essel Mining & Industries Ltd,#ND
#ND,#ND,#ND,21000,Fair Deal Supplies Pvt. Ltd,#ND
#ND,#ND,#ND,15000,Friend Salt Works & Allied Industries,#ND
#ND,#ND,#ND,65000,GACL,#ND
#ND,#ND,#ND,49000,Gangadhar Narsighdas Agrawal,#ND
#ND,#ND,#ND,23000,Generacion Eolica India Pvt. Ltd,#ND
#ND,#ND,#ND,29000,Ghodawat Industries Ltd,#ND
#ND,#ND,#ND,21000,GI Windfarms Ltd,#ND
#ND,#ND,#ND,34000,Godavat Pan Masala,#ND
#ND,#ND,#ND,16000,Goetze (I) Finance Services Ltd,#ND
#ND,#ND,#ND,32000,Grace Infrastructure (P) Ltd,#ND
#ND,#ND,#ND,20000,GSEC (ELECTRIC),#ND
#ND,#ND,#ND,36000,Gujarat Fluorochemicals Ltd,#ND
#ND,#ND,#ND,33000,Gujarat Gardian Limited,#ND
#ND,#ND,#ND,12000,Gujarat Narmada Valley Ferti. Co. Ltd,#ND
#ND,#ND,#ND,99000,Gujarat NRE Coke Limited,#ND
#ND,#ND,#ND,51000,Gujarat Paguthan Energy Corp.Ltd,#ND
#ND,#ND,#ND,12000,Gujarat State Fertilizers & Chemicals Ltd,#ND
#ND,#ND,#ND,41000,Halli & Jogimatti,#ND
#ND,#ND,#ND,25000,Hindustan Pertoleum Corporation Ltd,#ND
#ND,#ND,#ND,129000,HZL,#ND
#ND,#ND,#ND,20000,IDFC,#ND
#ND,#ND,#ND,15000,Indian Petrochemicals? Co. Ltd,#ND
#ND,#ND,#ND,35000,Indo Wind Energy Ltd,#ND
#ND,#ND,#ND,11000,Integral Coach Factory,#ND
#ND,#ND,#ND,21000,IOCL,#ND
#ND,#ND,#ND,50000,Jaiprakash Associates Limited,#ND
#ND,#ND,#ND,16000,Jayajyoti & Co. Ltd,#ND
#ND,#ND,#ND,19000,Jindal Alluminiam Ltd,#ND
#ND,#ND,#ND,15000,Jindal Steel and Power Ltd,#ND
#ND,#ND,#ND,67500,Jojobera - I,#ND
#ND,#ND,#ND,63000,K S Oils Ltd,#ND
#ND,#ND,65,19500,Kalluthu,Kalluthu
#ND,#ND,#ND,10000,Kandagiri Spinning Mills,#ND
#ND,#ND,#ND,7500,Karnataka,#ND
#ND,#ND,#ND,3000,Karnataka,#ND
#ND,#ND,#ND,10000,Khatau Narbheram & Co,#ND
#ND,#ND,#ND,#ND,Kottai,Kottai
#ND,#ND,#ND,34000,KPR Mill Pvt. Ltd,#ND
#ND,#ND,#ND,13000,KRBL Limited,#ND
#ND,#ND,#ND,23000,Lakshmi Machine Works Ltd,#ND
#ND,#ND,#ND,10000,Lanco Infratech Ltd,#ND
#ND,#ND,#ND,13000,Leo Fasteners,#ND
#ND,#ND,#ND,21000,Loyal Textile Mills Ltd,#ND
#ND,#ND,#ND,186000,Madras Cement Ltd,#ND
#ND,#ND,#ND,10000,Magma Shrachi Finance Ltd,#ND
#ND,#ND,#ND,14000,Mahanagar Developers,#ND
#ND,#ND,#ND,20000,Manganese Ore (India) Ltd,#ND
#ND,#ND,#ND,11000,Maris - Karnatka,#ND
#ND,#ND,#ND,17000,Metal Powder Co. Ltd,#ND
#ND,#ND,#ND,15000,Minerals Enterprises Ltd,#ND
#ND,#ND,#ND,15000,MMTC Limited,#ND
#ND,#ND,#ND,20000,Modern Road Makers Pvt. Ltd,#ND
#ND,#ND,#ND,38000,Mohan Breweries & Distilleries,#ND
#ND,#ND,#ND,15000,MRF Ltd,#ND
#ND,#ND,#ND,31000,MSPL GROUP,#ND
#ND,#ND,#ND,124000,MSPL Limited,#ND
#ND,#ND,#ND,19000,Muthoot Fincorp Ltd,#ND
#ND,#ND,#ND,5940,Mythos,#ND
#ND,#ND,#ND,23000,NEG-Micon (I) P. Ltd,#ND
#ND,#ND,#ND,45000,NEPC Micon,#ND
#ND,#ND,#ND,21000,Nishkalp Investment & Trading,#ND
#ND,#ND,#ND,11000,NMDC Limited,#ND
#ND,#ND,#ND,10000,Nuclear Power Corpn. of India Ltd,#ND
#ND,#ND,#ND,58000,Nuziveedu Seeds Ltd,#ND
#ND,#ND,#ND,11000,P Venganna Setty & Bros,#ND
#ND,#ND,#ND,46000,Patnaik Minerals Pvt Ltd,#ND
#ND,#ND,#ND,24000,Power Finance Corp,#ND
#ND,#ND,#ND,12000,Prabhu Spinning Mills (P) Ltd,#ND
#ND,#ND,#ND,14000,Prakash Industries Ltd,#ND
#ND,#ND,#ND,23000,Premier Fine Yarns Pvt. Ltd,#ND
#ND,#ND,#ND,16000,Premier Spg & Wvg Mills Pvt. Ltd,#ND
#ND,#ND,#ND,12000,R.B. Seth Shreeram Narsingdas,#ND
#ND,#ND,#ND,13000,Rajapalayam Mills Ltd,#ND
#ND,#ND,#ND,37000,Rajasthan Ren. Energy Corp. Ltd,#ND
#ND,#ND,#ND,68000,Rajasthan State Mines & Mineral Ltd,#ND
#ND,#ND,#ND,10000,Rajesh Construction Co,#ND
#ND,#ND,#ND,11000,Rajpalayam Mills,#ND
#ND,#ND,#ND,14000,Ramco Industries Ltd,#ND
#ND,#ND,#ND,43000,Ramgad Minerals & Mining Pvt. Ltd,#ND
