date,observed,predicted
2014-04-07,-125.78380120471013,-121.73832
2014-04-08,-97.35915169197807,-96.807175
2014-04-08,-97.3432446184188,-96.15392
2014-04-09,-82.77849549383895,-83.18627
2014-04-10,-76.33023051251871,-76.761
2014-04-11,-81.5296926402172,-78.44299
2014-04-11,-81.55630845487929,-80.34664
2014-04-12,-75.67749828687755,-72.48175
2014-04-13,-106.1075280818899,-104.42538
2014-04-14,-93.93705869733705,-94.74542
2014-04-15,-82.63146122039937,-79.58287
2014-04-16,-79.14136397503107,-78.31358
2014-04-17,-101.8875461459351,-93.03977
2014-04-18,-108.72001578157212,-107.43151
2014-04-19,-120.53328699289014,-118.53033
2014-04-20,-122.44051366792313,-81.96234
2014-04-21,-99.69331817925695,-99.34597
2014-04-21,-99.587299149537,-97.503525
2014-04-22,-83.906317626478,-82.42391
2014-04-23,-88.09996002145078,-86.77503
2014-04-24,-70.6162983766334,-69.89281
2014-04-25,-51.849882500245855,-52.7646
2014-04-26,-46.08407552309517,-47.72617
2014-04-27,-53.30223324426145,-53.450893
2014-04-28,-36.39020273530291,-36.168842
2014-04-28,-27.698185331142064,-34.28007
2014-04-30,-39.436477075384595,-38.22405
2014-05-01,-29.407693992527342,-30.855738
2014-05-02,-37.16777950721979,-35.502766
2014-05-03,-38.04871263217017,-36.340374
2014-05-04,-46.877627658438556,-44.446617
2014-05-05,-28.59561360553903,-27.27477
2014-05-06,-19.61308626886549,-21.515163
2014-05-07,-8.229518907275317,-22.400482
2014-05-08,-29.847787222105328,-27.853092
2014-05-09,-25.647567818829803,-26.509155
2014-05-10,-31.30647716724573,-31.615946
2014-05-11,-51.85974571708657,-51.817253
2014-05-12,-66.50764210223824,-68.16065
2014-05-13,-116.8021388777454,-105.727516
2014-05-14,-125.45832693305748,-114.018196
2014-05-15,-69.08346148745025,-70.643166
2014-05-16,-65.37197286052354,-62.747784
2014-05-17,-37.14905014405271,-48.131165
2014-05-18,-59.331667053783164,-58.349834
2014-05-19,-51.964497313298025,-24.347536
2014-05-20,-30.908580685625985,-31.244598
2014-05-21,-25.681915148704903,-24.16941
2014-05-22,7.518937612607633,5.5833793
2014-05-23,-24.45052176472202,-24.625957
2014-05-24,-4.436801211822409,-4.5099735
2014-05-25,-10.545982047268103,-8.260827
2014-05-26,-1.3496010866315786,-0.31639028
2014-05-27,37.676741616398665,36.299812
2014-05-28,46.34438269924174,44.95615
2014-05-29,35.77029815012156,35.914974
2014-05-30,-1.7652511732874072,2.3583343
2014-05-31,44.1833053854013,44.30872
2014-06-01,37.842834385640536,-19.136318
2014-06-02,25.68058337018943,26.077595
2014-06-03,40.27363263547949,40.420593
2014-06-04,51.45804865056088,54.15939
2014-06-05,94.47952758201899,89.103714
2014-06-06,101.9047130750335,79.9762
2014-06-07,96.2910792176604,93.3471
2014-06-08,98.28682090900249,71.26792
2014-06-09,107.97100682282189,106.88285
2014-06-10,151.84310505362598,152.15424
2014-06-11,166.051308573485,156.1522
2014-06-12,145.5040214517795,145.25464
2014-06-13,155.40251867270524,156.12238
2014-06-14,178.70326484964187,178.24739
2014-06-15,199.1026028563529,201.64633
2014-06-16,246.96918688297538,236.69394
2014-06-17,223.67650087277264,226.00687
2014-06-18,203.79447166180833,210.36499
2014-06-19,219.976848811708,221.52444
2014-06-20,229.45032576101752,225.0486
2014-06-21,173.4892066214095,174.91211
2014-06-22,168.89586344756927,167.848
2014-06-23,166.51174460647272,143.20483
2014-06-24,181.22525028341587,179.27261
2014-06-25,171.39909817628921,169.79611
2014-06-26,143.56657873517818,148.68124
2014-06-27,167.35156616919784,193.5037
2014-06-28,190.64045094307048,174.47542
2014-06-29,156.68209406281537,157.20256
2014-06-30,192.4153206887458,190.0068
2014-07-01,146.34346523529126,145.89299
2014-07-02,134.5179763340475,136.29149
2014-07-03,150.45484348413393,148.23582
2014-07-04,168.54881512462364,168.28256
